Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1923,26.0,0,2,23.0,2,1,2,3.0,0,3.0,1,1.0,1,5,0,1.0,1,17741.0
597,42.0,1,1,6.0,2,1,2,4.0,1,3.0,0,1.0,1,3,0,1.0,2,21062.0
4701,56.0,0,1,9.0,2,2,4,4.0,3,4.0,1,5.0,0,1,0,2.0,3,29654.0
4662,27.0,0,3,36.0,3,2,4,6.0,1,5.0,3,2.0,0,3,1,2.0,2,23647.0
2821,37.0,1,1,9.0,2,1,4,4.0,0,3.0,0,6.0,0,5,1,1.0,1,21221.0
2420,31.0,1,2,28.0,2,2,2,5.0,0,3.0,1,2.0,0,1,0,1.0,1,24852.0
1468,49.0,0,3,8.0,3,2,3,4.0,1,4.0,1,3.0,0,3,1,2.0,2,20390.0
1785,43.0,0,1,16.0,2,1,2,3.0,0,3.0,2,1.0,0,5,0,0.0,1,17455.0
4619,40.0,1,3,9.0,2,2,3,2.0,3,3.0,3,2.0,0,1,0,1.0,3,26558.0
2607,58.0,1,1,31.0,2,2,3,3.0,3,3.0,1,5.0,1,4,1,2.0,3,28117.0
2727,56.0,1,1,27.0,1,2,3,4.0,1,3.0,0,5.0,1,2,1,2.0,2,24093.0
401,56.0,0,3,12.0,2,1,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0
4876,52.0,1,3,34.0,2,2,3,4.0,1,3.0,2,3.0,1,5,1,2.0,2,32704.0
2352,36.0,1,1,7.0,1,1,3,5.0,3,5.0,1,3.0,1,1,1,0.0,3,25252.0
586,24.0,0,1,15.0,2,2,2,4.0,0,4.0,1,2.0,0,5,1,0.0,1,17694.0
702,30.0,1,3,14.0,2,2,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0
2404,25.0,1,1,15.0,2,2,2,3.0,0,5.0,2,4.0,0,1,1,0.0,1,17096.0
3462,37.0,1,1,11.0,2,2,3,5.0,1,3.0,3,3.0,0,5,1,2.0,2,24488.0
1983,20.0,1,1,16.0,3,2,2,3.0,0,3.0,2,2.0,1,5,1,1.0,1,16009.0
3370,44.0,1,3,11.0,3,1,3,5.0,3,3.0,2,5.0,0,3,1,1.0,3,28909.0
4573,29.0,1,3,12.0,3,2,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0
4525,36.0,1,1,14.0,2,2,3,4.0,3,3.0,2,5.0,0,3,0,2.0,3,28899.0
3180,49.0,1,1,11.0,2,2,4,5.0,3,3.0,2,2.0,0,5,1,2.0,3,29677.0
74,36.0,1,1,12.0,2,1,2,2.0,1,3.0,0,4.0,0,2,0,0.0,2,18038.0
4301,41.0,1,3,9.0,3,1,3,4.0,1,4.0,1,2.0,0,1,0,1.0,2,24393.0
3099,34.0,1,2,10.0,2,2,3,4.0,0,4.0,1,5.0,1,5,0,2.0,1,20955.0
2726,30.0,0,3,9.0,2,2,3,4.0,1,3.0,3,3.0,0,2,0,1.0,2,23232.0
311,45.0,0,1,13.0,2,2,3,3.0,3,5.0,1,2.0,0,2,1,2.0,3,20210.0
4197,56.0,1,1,27.0,1,2,3,4.0,1,3.0,1,5.0,1,1,0,1.0,2,24093.0
2197,18.0,0,1,11.0,2,2,3,3.0,0,3.0,2,2.0,0,1,0,1.0,1,16051.0
